twitter_id,label
1419780029253292032,NHS
1419721256182718465,HS
1419427171341381635,HS
1419284722811875328,HS
1419217282262343681,NHS
1419059263301951493,HS
1419056646815354880,HS
1418612612175106051,HS
1418518468681478148,HS
1418361891978682370,NHS
1418305009683517450,NHS
1418020019171123207,HS
1417986747598782476,HS
1417964025665687554,NHS
1417619488326000642,NHS
1417028313428672512,NHS
1416871411965104129,HS
1416851210796142602,HS
1416794625248047105,HS
1416430580187766784,HS
1416251644749258752,NHS
1415952785758167047,NHS
1415712987822895114,HS
1415697259707174928,HS
1415527906332323841,NHS
1415441846977933313,NHS
1415399903883317250,HS
1415315120247427077,NHS
1415228389678538752,NHS
1415187899339968512,NHS
1414973220533506048,HS
1414919290575261698,HS
1414904673149112322,HS
1414885581897838607,HS
1414616727938289666,HS
1414607720120979459,NHS
1414539098988163076,NHS
1414529357624795138,NHS
1414511517165395968,NHS
1414511334251716610,NHS
1414357009739173891,HS
1414312213511385091,NHS
1414297324885626884,NHS
1414263566111232005,NHS
1414217200966246402,HS
1414197055992606727,NHS
1414164845642108933,HS
1414149183876083716,HS
1413996179545858049,HS
1413963695416385538,HS
1413948518025383941,NHS
1413927270067146752,NHS
1413814171649646599,HS
1413805015463088132,NHS
1413804362745491459,NHS
1413802422577897476,NHS
1413646148024381442,NHS
1413617314612891651,NHS
1413581664069066752,NHS
1413517352583540736,HS
1413484176511275011,HS
1413481785745240067,NHS
1413464122881048578,NHS
1413463382045470722,NHS
1413425603525627905,NHS
1413411130349867009,NHS
1413370398457139206,HS
1413205424338309133,HS
1413191706338631681,NHS
1413118316491706372,NHS
1413089683681259525,NHS
1413066683804229632,HS
1412895366782009350,NHS
1412890529457709058,HS
1412854815865159680,HS
1412776175043219472,HS
1412756160327950337,HS
1412706907631063040,NHS
1412656663849472002,NHS
1412541391251689473,HS
1412536531055779845,HS
1412530877331120128,HS
1412526219770404865,HS
1412521046616444928,HS
1412518829385826305,HS
1412504797262057479,HS
1412496804055224327,HS
1412475547280674822,HS
1412460883155038211,HS
1412458143125327875,NHS
1412430657482113033,HS
1412424016753737737,HS
1412423380880461826,HS
1412419834474795012,NHS
1412395855835959300,NHS
